Game_ID,Game_Critic_Score,Game_Genre,Game_Popularity_Score,Game_Title,Game_Price_in_Dollars,Game_Outlet_Id,Store_Sale_Year,Store_Size,Store_Location_Type,Store_Outlet_Type,Total_Outlet_Sales
GM_FDL51,8.28,Arcade,0.047760002,PUBG,21.49876,17,2020,Small,Residential,Supermarket,106.26168
GM_NCY42,0,Action,0.015089147,Apex Legends,14.1347,27,2013,Medium,Outskirts,Department Store,48.47024
GM_FDR07,8.54,Action,0.07818366,FIFA,9.68094,17,2020,Medium,Residential,Supermarket,14.78076
GM_FDN40,5.88,Action,0.086632125,League of Legends,15.26998,45,2018,Medium,Residential,Supermarket,254.3356
GM_FDB35,0,Arcade,0.064306056,Farcry,9.03804,27,2013,Medium,Outskirts,Department Store,18.44266
GM_FDA22,7.435,Action,0.08493006,Farcry,16.58158,17,2020,Medium,Residential,Supermarket,486.56664
GM_NCL06,5.86,Action,0.072066634,Apex Legends,26.25594,46,2015,Small,Metropolitan,Supermarket,111.8544
GM_FDI35,5.6,Action,0.041256807,Farcry,18.12634,13,2014,High,Outskirts,Supermarket,230.23364
GM_NCW42,7.28,Action,0.058587558,Apex Legends,22.16456,45,2018,High,Residential,Supermarket,202.7361
GM_NCX06,7.04,Action,0.015711434,Apex Legends,18.00976,49,2017,Medium,Metropolitan,Supermarket,343.5528
GM_FDC37,0,Action,0.032714163,Valorant,10.81938,27,2013,Medium,Outskirts,Department Store,59.922
GM_FDZ14,7.71,Arcade,0.047782552,PUBG,12.23756,18,2021,Medium,Outskirts,Malls,460.46728
GM_DRG49,7.81,Action,0.067560171,Hitman,24.52486,49,2017,Medium,Metropolitan,Supermarket,228.50256
GM_NCG06,6.54,Action,0.029505077,Apex Legends,25.62646,45,2018,Medium,Residential,Supermarket,558.07356
GM_DRC36,5.2,Arcade,0.045076104,Hitman,17.37054,45,2018,Medium,Residential,Supermarket,229.0352
GM_FDV21,0,Action,0.299544153,DOTA,12.48704,19,2013,Small,Metropolitan,Convenience Store,120.70954
GM_FDB53,5.34,Action,0.139452413,League of Legends,14.86392,46,2015,Small,Metropolitan,Supermarket,64.31628
GM_DRP47,0,Action,0.246178257,Uncharted,25.24382,19,2013,Small,Metropolitan,Convenience Store,158.7933
GM_FDA14,6.44,Arcade,0.065128984,PUBG,14.5176,13,2014,High,Outskirts,Supermarket,530.50944
GM_DRC24,7.14,Action,0.024816585,Hitman,15.26998,35,2019,Small,Residential,Supermarket,169.779
GM_FDW21,5.34,Arcade,0.005988175,DOTA,10.06358,18,2021,Medium,Outskirts,Malls,142.74752
GM_NCH29,5.51,Action,0.034473804,Prince of Persia,9.73726,46,2015,Small,Metropolitan,Supermarket,469.389
GM_FDU58,6.61,Arcade,0.028987582,DOTA,18.86898,13,2014,High,Outskirts,Supermarket,58.32408
GM_FDY27,6.38,Action,0.032078604,PUBG,17.76344,17,2020,High,Residential,Supermarket,309.19752
GM_FDV56,6.44,Arcade,0.013593151,FIFA,10.89596,35,2019,Small,Residential,Supermarket,247.94392
GM_FDT59,5.46,Arcade,0.015911432,Grand Theft Auto,23.05668,46,2015,Small,Metropolitan,Supermarket,271.6464
GM_FDB23,7.68,Arcade,0.005588601,Farcry,22.55062,46,2015,Small,Metropolitan,Supermarket,328.5723
GM_FDR49,8.71,Action,0.139510771,God of War,4.62376,45,2018,Small,Residential,Supermarket,66.18052
GM_FDB03,7.1,Arcade,0.262504325,PUBG,24.22538,10,2016,Small,Outskirts,Convenience Store,152.33504
GM_FDN39,7.74,Arcade,0,Fortnite,16.57816,45,2018,Small,Residential,Supermarket,36.9519
GM_FDX02,0,Action,0.056783774,PUBG,22.31404,27,2013,Medium,Outskirts,Department Store,69.04346
GM_FDQ16,0,Action,0.041536279,League of Legends,10.77912,27,2013,Medium,Outskirts,Department Store,138.1535
GM_FDU35,6.44,Action,0.079538056,Grand Theft Auto,9.947,18,2021,Medium,Outskirts,Malls,62.2523
GM_NCT29,5.04,Action,0.064057374,Prince of Persia,12.21414,13,2014,High,Outskirts,Supermarket,127.43412
GM_FDZ27,7.935,Action,0.017156262,PUBG,4.8135,46,2015,Small,Metropolitan,Supermarket,48.73656
GM_FDN57,7.3,Action,0.054540968,DOTA,14.04154,17,2020,Small,Residential,Supermarket,123.173
GM_FDA03,7.4,Arcade,0.045648973,PUBG,14.56102,18,2021,Medium,Outskirts,Malls,375.5112
GM_FDZ36,6.035,Arcade,0.065917194,Valorant,18.5724,45,2018,Medium,Residential,Supermarket,436.36532
GM_NCU05,4.72,Action,0.058687359,Prince of Persia,8.11618,13,2014,High,Outskirts,Supermarket,131.42892
GM_FDT39,6.26,Arcade,0.009908113,Fortnite,15.11366,18,2021,Medium,Outskirts,Malls,180.56496
GM_FDK60,6.6,Arcade,0.094395215,Valorant,9.72068,17,2020,Medium,Residential,Supermarket,285.49504
GM_FDZ25,6.28,Arcade,0.02777326,God of War,16.9279,17,2020,Medium,Residential,Supermarket,389.62616
GM_FDG12,6.635,Action,0.006326106,Valorant,12.21098,46,2015,Small,Metropolitan,Supermarket,66.77974
GM_DRB01,0,Action,0.143990546,Hitman,19.1553,19,2013,Small,Metropolitan,Convenience Store,318.5853
GM_NCC43,0,Action,0.09233359,Apex Legends,25.06066,27,2013,Medium,Outskirts,Department Store,224.77408
GM_FDX13,0,Action,0.083661793,God of War,24.86092,19,2013,Small,Metropolitan,Convenience Store,179.4331
GM_FDM22,5.6,Arcade,0.042022999,DOTA,5.3064,49,2017,Medium,Metropolitan,Supermarket,253.07058
GM_FDJ03,0,Arcade,0.072044336,PUBG,4.88692,27,2013,Medium,Outskirts,Department Store,67.9116
GM_FDU14,7.1,Action,0,PUBG,24.9775,18,2021,Medium,Outskirts,Malls,81.2276
GM_FDB33,7.1,Action,0.024404214,FIFA,15.90262,10,2016,Medium,Outskirts,Convenience Store,69.909
GM_FDP27,8.155,Action,0.119450639,Fortnite,19.0653,46,2015,Small,Metropolitan,Supermarket,273.24432
GM_FDO38,6.9,Action,0.121917641,God of War,7.66986,10,2016,Small,Outskirts,Convenience Store,17.6437
GM_FDE28,0,Arcade,0.131905128,League of Legends,23.20668,27,2013,Medium,Outskirts,Department Store,409.73332
GM_FDO27,6.175,Arcade,0.179043614,Fortnite,9.53752,35,2019,Small,Residential,Supermarket,315.18972
GM_DRL23,0,Action,0.0152302,Uncharted,10.70938,27,2013,Medium,Outskirts,Department Store,594.2265
GM_FDS28,8.18,Arcade,0.082401592,League of Legends,5.59588,46,2015,Small,Metropolitan,Supermarket,484.3695
GM_FDX24,8.355,Action,0.013917468,Valorant,9.25462,13,2014,High,Outskirts,Supermarket,254.20244
GM_FDZ02,6.905,Arcade,0.038140213,PUBG,9.63726,35,2019,Small,Residential,Supermarket,255.26772
GM_FDL46,8.14,Action,0.054166556,DOTA,11.69466,45,2018,Small,Residential,Supermarket,114.1847
GM_FDS60,0,Action,0.03229139,Valorant,17.8766,27,2013,Medium,Outskirts,Department Store,68.04476
GM_NCO06,7.7,Action,0.108641498,Apex Legends,3.30558,17,2020,Medium,Residential,Supermarket,208.59514
GM_FDO16,5.48,Action,0.015105338,League of Legends,8.4625,35,2019,Small,Residential,Supermarket,18.6424
GM_FDC60,5.425,Arcade,0.114650377,Valorant,8.73514,49,2017,Medium,Metropolitan,Supermarket,303.6048
GM_FDA48,4.84,Action,0.115342009,Valorant,22.02114,18,2021,Medium,Outskirts,Malls,86.68716
GM_FDZ36,0,Arcade,0,Valorant,18.6424,27,2013,Medium,Outskirts,Department Store,86.8869
GM_FDK27,4.4,Action,0.00896468,Fortnite,12.06756,45,2018,Medium,Residential,Supermarket,113.71864
GM_FDW23,5.765,Action,0.082346376,Valorant,3.88164,18,2021,Medium,Outskirts,Malls,92.81252
GM_FDM14,5.52,Action,0.013318,God of War,11.01254,18,2021,Medium,Outskirts,Malls,76.2341
GM_FDM14,5.52,Action,0.01325293,God of War,10.82254,13,2014,High,Outskirts,Supermarket,70.70796
GM_FDW60,5.44,Arcade,0.017131453,Valorant,17.7837,18,2021,Medium,Outskirts,Malls,796.82944
GM_FDE21,5.12,Action,0.022925594,FIFA,11.64492,13,2014,High,Outskirts,Supermarket,143.8128
GM_NCM42,6.13,Action,0.028316137,Apex Legends,10.93912,35,2019,Small,Residential,Supermarket,697.62524
GM_FDY59,8.195,Action,0.052562923,Valorant,9.39462,10,2016,Small,Outskirts,Convenience Store,10.12016
GM_DRI49,5.66,Action,0.1837926,Hitman,8.13276,49,2017,Medium,Metropolitan,Supermarket,95.2094
GM_FDT28,0,Action,0.111296158,League of Legends,15.12708,19,2013,Small,Metropolitan,Convenience Store,196.94364
GM_FDQ22,6.7,Action,0.029860799,DOTA,3.95822,18,2021,Medium,Outskirts,Malls,526.24832
GM_FDR60,5.72,Arcade,0.130617879,Valorant,7.65328,49,2017,Medium,Metropolitan,Supermarket,131.42892
GM_FDC50,0,Arcade,0.238990225,God of War,9.47094,19,2013,Small,Metropolitan,Convenience Store,53.53032
GM_FDV24,5.635,Action,0.103186396,Valorant,15.1805,13,2014,High,Outskirts,Supermarket,26.36568
GM_DRF48,5.73,Action,0,Hitman,18.83898,10,2016,High,Outskirts,Convenience Store,140.21748
GM_FDQ47,7.155,Arcade,0.168186376,Grand Theft Auto,3.65874,46,2015,Small,Metropolitan,Supermarket,169.37952
GM_DRN36,6.08,Action,0.050255855,Hitman,9.73752,49,2017,Medium,Metropolitan,Supermarket,214.3876
GM_NCY06,6.1,Action,0.061173235,Apex Legends,12.85968,35,2019,Small,Residential,Supermarket,267.6516
GM_FDE52,4.158,Arcade,0.029881147,PUBG,8.95514,35,2019,Small,Residential,Supermarket,90.5488
GM_NCB54,8.76,Action,0.050154219,Prince of Persia,12.69336,45,2018,Small,Residential,Supermarket,737.0406
GM_NCF31,9.13,Action,0.051837621,Apex Legends,15.26024,35,2019,Small,Residential,Supermarket,630.11312
GM_FDJ08,0,Action,0.11013617,FIFA,18.97846,27,2013,Medium,Outskirts,Department Store,159.792
GM_NCC07,7.84,Action,0.024086626,Apex Legends,10.60964,17,2020,Medium,Residential,Supermarket,52.9311
GM_NCD19,0,Action,0.013115567,Apex Legends,5.37614,27,2013,Medium,Outskirts,Department Store,196.94364
GM_FDL46,8.14,Action,0,DOTA,11.89466,49,2017,Medium,Metropolitan,Supermarket,103.46532
GM_FDM20,4,Action,0.038764258,FIFA,24.62144,45,2018,Medium,Residential,Supermarket,179.4331
GM_NCI06,4.52,Action,0.07986963,Apex Legends,18.0466,10,2016,Medium,Outskirts,Convenience Store,276.83964
GM_DRM11,6.57,Action,0.066057085,Uncharted,25.93278,35,2019,Small,Residential,Supermarket,89.883
GM_NCH07,5.26,Action,0.093044518,Apex Legends,15.84604,18,2021,Medium,Outskirts,Malls,316.9208
GM_FDS23,4.635,Action,0.140771867,Grand Theft Auto,12.94994,13,2014,High,Outskirts,Supermarket,358.99936
GM_FDO49,4.24,Arcade,0.033186809,Assassin Creed,4.91008,18,2021,Medium,Outskirts,Malls,26.23252
GM_FDS35,9.3,Action,0.11139344,Grand Theft Auto,6.52826,49,2017,Medium,Metropolitan,Supermarket,191.01802
GM_DRK39,7.02,Action,0.049966527,PUBG,8.2525,45,2018,Medium,Residential,Supermarket,170.17848
GM_DRI39,5.52,Action,0.097212998,PUBG,5.8293,49,2017,Medium,Metropolitan,Supermarket,247.14496
GM_FDV04,7.825,Arcade,0.150863781,League of Legends,15.80288,17,2020,Medium,Residential,Supermarket,133.16
GM_NCN14,7.64,Action,0.091900406,Rocket League,18.25608,35,2019,Small,Residential,Supermarket,180.89786
GM_FDH08,7.51,Action,0.017414576,FIFA,23.1101,13,2014,High,Outskirts,Supermarket,331.5684
GM_FDS20,8.85,Action,0.053866912,FIFA,18.30292,46,2015,Small,Metropolitan,Supermarket,261.85914
GM_FDV40,6.94,Action,0.014714625,League of Legends,7.54038,49,2017,Medium,Metropolitan,Supermarket,276.9728
GM_FDZ48,7.1,Action,0.127140836,Valorant,11.05544,10,2016,Medium,Outskirts,Convenience Store,537.50034
GM_FDS24,0,Arcade,0.061923154,Valorant,8.75514,27,2013,Medium,Outskirts,Department Store,283.89712
GM_FDK44,6.64,Action,0.122417514,FIFA,17.43738,49,2017,Medium,Metropolitan,Supermarket,174.30644
GM_FDS48,6.06,Action,0,Valorant,15.04708,45,2018,Medium,Residential,Supermarket,555.54352
GM_FDK26,5.46,Arcade,0.053858378,God of War,18.6924,10,2016,Medium,Outskirts,Convenience Store,61.9194
GM_FDD23,9.5,Arcade,0.048784266,Farcry,18.85898,45,2018,Medium,Residential,Supermarket,212.0573
GM_NCH54,5.4,Arcade,0.073080167,Apex Legends,16.1492,17,2020,Medium,Residential,Supermarket,382.30236
GM_NCP14,8.275,Action,0.184602443,Apex Legends,10.65306,10,2016,Medium,Outskirts,Convenience Store,136.02294
GM_FDM60,4.32,Arcade,0.080582001,Valorant,3.94138,10,2016,Medium,Outskirts,Convenience Store,396.94996
GM_FDV24,5.635,Action,0.103856487,Valorant,15.1305,17,2020,Medium,Residential,Supermarket,34.55502
GM_FDH08,7.51,Action,0.017500079,FIFA,22.8801,18,2021,Medium,Outskirts,Malls,58.52382
GM_FDS12,0,Action,0.173275373,Valorant,12.76362,27,2013,Medium,Outskirts,Department Store,101.06844
GM_FDR39,0,Action,0.083393481,Fortnite,18.06292,27,2013,Medium,Outskirts,Department Store,16.11236
GM_FDP12,0,Arcade,0.0450476,Valorant,3.64874,27,2013,Medium,Outskirts,Department Store,4.26112
GM_DRF60,0,Action,0.051816577,Hitman,23.64564,27,2013,Medium,Outskirts,Department Store,301.07476
GM_FDC09,6.2,Arcade,0.026297031,FIFA,10.27332,35,2019,Small,Residential,Supermarket,602.41584
GM_FDF50,4.905,Action,0.117808305,God of War,19.85768,18,2021,Medium,Outskirts,Malls,98.8713
GM_FDG28,9.285,Arcade,0.049270974,League of Legends,24.39144,35,2019,Small,Residential,Supermarket,23.9688
GM_NCE19,8.97,Action,0.093540749,Apex Legends,5.54956,17,2020,Small,Residential,Supermarket,137.42112
GM_NCM53,7.5,Action,0.087105823,Prince of Persia,10.8228,10,2016,Small,Outskirts,Convenience Store,473.98302
GM_NCN18,8.895,Action,0,Apex Legends,11.09544,49,2017,Medium,Metropolitan,Supermarket,101.2016
GM_FDF32,6.54,Action,0.068068082,FIFA,19.91426,35,2019,Small,Residential,Supermarket,65.78104
GM_FDF11,4.078,Arcade,0.01761655,Farcry,23.94538,13,2014,High,Outskirts,Supermarket,77.8986
GM_DRI59,9.5,Action,0.040898157,Uncharted,22.52088,49,2017,Medium,Metropolitan,Supermarket,233.6958
GM_NCG54,4.84,Action,0.079791176,Apex Legends,16.95106,35,2019,Small,Residential,Supermarket,223.30932
GM_FDM44,5,Action,0.031049674,FIFA,10.1399,46,2015,Small,Metropolitan,Supermarket,166.18368
GM_FDT57,6.08,Action,0.019112323,DOTA,23.62248,18,2021,Medium,Outskirts,Malls,474.58224
GM_FDV24,5.635,Action,0.103272336,Valorant,15.1205,46,2015,Small,Metropolitan,Supermarket,312.45994
GM_FDI50,0,Arcade,0.054001526,God of War,22.78352,19,2013,Small,Metropolitan,Convenience Store,46.73916
GM_FDS09,8.895,Arcade,0.081073148,DOTA,5.12008,35,2019,Small,Residential,Supermarket,507.07328
GM_NCC31,0,Action,0.019774239,Apex Legends,15.45972,27,2013,Medium,Outskirts,Department Store,54.06296
GM_FDQ07,0,Arcade,0.153038134,FIFA,21.90456,19,2013,Small,Metropolitan,Convenience Store,99.27078
GM_FDC22,6.89,Arcade,0.13720009,DOTA,19.1882,17,2020,Small,Residential,Supermarket,600.8845
GM_FDZ56,6.5,Action,0.02573698,FIFA,16.93474,46,2015,Small,Metropolitan,Supermarket,210.52596
GM_FDZ40,0,Action,0.070354806,League of Legends,5.39298,19,2013,Small,Metropolitan,Convenience Store,535.969
GM_FDS46,0,Arcade,0.047028483,DOTA,11.83782,27,2013,Medium,Outskirts,Department Store,74.5696
GM_DRD24,5.54,Action,0.030857538,Hitman,14.06154,45,2018,Medium,Residential,Supermarket,327.5736
GM_FDV45,6.7,Action,0.045302246,DOTA,18.91556,17,2020,Medium,Residential,Supermarket,170.17848
GM_FDL26,7.2,Action,0.073341257,God of War,15.57972,45,2018,Medium,Residential,Supermarket,670.4606
GM_FDA56,9.21,Action,0.00880049,FIFA,12.30414,18,2021,Medium,Outskirts,Malls,411.99704
GM_FDN27,8.34,Action,0.039562497,Fortnite,11.81808,46,2015,Small,Metropolitan,Supermarket,32.75736
GM_FDM20,4,Action,0.038745948,FIFA,24.50144,49,2017,Medium,Metropolitan,Supermarket,78.09834
GM_FDO16,5.48,Action,0.015193653,League of Legends,8.2825,17,2020,Medium,Residential,Supermarket,363.06074
GM_FDL03,7.7,Arcade,0.027075481,Fortnite,19.5611,35,2019,Small,Residential,Supermarket,31.75866
GM_FDE58,7.4,Action,0.052068722,DOTA,11.70124,46,2015,Small,Metropolitan,Supermarket,23.16984
GM_FDI02,0,Arcade,0.114010306,God of War,11.22202,27,2013,Medium,Outskirts,Department Store,13.316
GM_NCC55,0,Arcade,0.111641021,Apex Legends,3.88848,19,2013,Small,Metropolitan,Convenience Store,565.06446
GM_FDR03,6.28,Arcade,0.008771522,Fortnite,20.5798,18,2021,Medium,Outskirts,Malls,263.6568
GM_FDB14,8.1,Arcade,0.103304968,God of War,9.2612,17,2020,Medium,Residential,Supermarket,127.23438
GM_FDR45,4.32,Arcade,0.028919203,DOTA,24.09222,13,2014,High,Outskirts,Supermarket,32.49104
GM_NCN07,7.4,Action,0.034136703,Rocket League,13.00284,17,2020,High,Residential,Supermarket,13.11626
GM_FDM51,0,Arcade,0.045393469,Fortnite,10.22674,19,2013,Small,Metropolitan,Convenience Store,26.09936
GM_FDT52,0,Arcade,0.047199898,League of Legends,24.49144,27,2013,Medium,Outskirts,Department Store,26.09936
GM_FDL26,7.2,Action,0.07319282,God of War,15.42972,46,2015,Small,Metropolitan,Supermarket,369.05294
GM_NCZ42,4.2,Action,0.011287929,Apex Legends,23.89248,46,2015,Small,Metropolitan,Supermarket,113.91838
GM_DRI47,0,Action,0.036628533,Uncharted,14.56128,19,2013,Small,Metropolitan,Convenience Store,199.54026
GM_FDW40,5.6,Arcade,0.105057952,League of Legends,14.11812,13,2014,High,Outskirts,Supermarket,141.68224
GM_FDN34,6.24,Arcade,0,DOTA,16.92132,46,2015,Small,Metropolitan,Supermarket,26.56542
GM_FDS01,4.64,Action,0.017741644,God of War,17.83686,35,2019,Small,Residential,Supermarket,355.27088
GM_NCG55,6.5,Action,0.039225553,Apex Legends,11.62176,45,2018,Small,Residential,Supermarket,240.6867
GM_FDC11,8.2,Action,0.141766029,Farcry,8.74172,35,2019,Small,Residential,Supermarket,21.3056
GM_FDX35,5.035,Arcade,0.080236064,Grand Theft Auto,22.64036,18,2021,Medium,Outskirts,Malls,295.6152
GM_NCB06,7.04,Action,0.082332074,Prince of Persia,16.0392,46,2015,Small,Metropolitan,Supermarket,15.3134
GM_FDR09,0,Action,0.136085739,DOTA,25.98962,19,2013,Small,Metropolitan,Convenience Store,164.98524
GM_FDC53,8.68,Action,0.008885672,League of Legends,9.69384,17,2020,Small,Residential,Supermarket,310.12964
GM_FDY45,7,Action,0,DOTA,25.52356,13,2014,High,Outskirts,Supermarket,476.91254
GM_FDA22,7.435,Action,0.141355941,Farcry,16.85158,10,2016,High,Outskirts,Convenience Store,343.5528
GM_FDE02,8.71,Action,0.121227447,God of War,9.52778,35,2019,Small,Residential,Supermarket,113.38574
GM_FDW21,5.34,Arcade,0.005975976,DOTA,10.08358,45,2018,Small,Residential,Supermarket,260.3278
GM_FDV34,4.278,Arcade,0.011425458,DOTA,7.36038,46,2015,Small,Metropolitan,Supermarket,60.5878
GM_FDS59,5.92,Arcade,0.043961689,Grand Theft Auto,10.9157,49,2017,Medium,Metropolitan,Supermarket,229.30152
GM_NCW17,7.2,Action,0.01949589,Prince of Persia,12.78994,17,2020,Medium,Residential,Supermarket,11.91782
GM_NCK54,4.86,Action,0.029523375,Apex Legends,11.7215,46,2015,Small,Metropolitan,Supermarket,192.94884
GM_FDG17,0,Arcade,0.062751586,League of Legends,24.42486,19,2013,Small,Metropolitan,Convenience Store,207.46328
GM_FDG35,8.48,Arcade,0,Farcry,17.30738,17,2020,Small,Residential,Supermarket,24.16854
GM_FDD08,8.3,Action,0.059175953,FIFA,3.78506,10,2016,Small,Outskirts,Convenience Store,679.51548
GM_NCO07,9.06,Action,0.009831566,Rocket League,21.1156,17,2020,Small,Residential,Supermarket,63.9168
GM_FDJ10,5.095,Action,0.216762584,DOTA,14.22838,10,2016,Small,Outskirts,Convenience Store,324.84382
